route,title,final_title,meta_description,canonical,h1,robots,indexability_class,title_issues,description_issues,structured_data
"/blog/ai-agents-agentic-commerce-local-business","Why AI agents will change local marketing","Why AI agents will change local | Prism","Why AI agents will change local. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/ai-agents-agentic-commerce-local-business","the next big shift in online marketing: why ai agents will change how customers find and buy from local businesses","index","indexable","","","yes"
"/blog/ai-coding-agents-in-xcode-for-founders","AI coding agents in Xcode for founders","AI coding agents in Xcode for founders | Prism","Apple added Claude and Codex inside Xcode.","https://www.design-prism.com/blog/ai-coding-agents-in-xcode-for-founders","Apple Just Put AI Coding Agents Inside Xcode: What Small Business Founders Need to Know","noindex","utility_noindex","","","yes"
"/blog/ai-effortlessly-welcome-more-patients-dental-practice","Use AI to welcome more dental patients","Use AI to welcome more dental patients | Prism","Use AI to welcome more dental patients. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/ai-effortlessly-welcome-more-patients-dental-practice","still relying on word-of-mouth? how ai can effortlessly welcome more patients to your dental practice","index","indexable","","","yes"
"/blog/ai-growth-stack-manus-elevenlabs-codex","AI growth stack: Manus, ElevenLabs, Codex","AI growth stack: Manus, ElevenLabs | Prism","AI growth stack: Manus, ElevenLabs. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/ai-growth-stack-manus-elevenlabs-codex","My Computer by Manus, ElevenCreative, ElevenLabs Agents, and Codex subagents: a founder's guide","noindex","utility_noindex","","","yes"
"/blog/ai-is-coming-for-your-business-its-coming-for-your-competitors","AI is coming for your competitors","AI is coming for your competitors | Prism","AI is becoming the operator in marketing, sales, and ops.","https://www.design-prism.com/blog/ai-is-coming-for-your-business-its-coming-for-your-competitors","AI Isn't Coming for Your Business. It's Coming for Your Competitors.","noindex","utility_noindex","","","yes"
"/blog/ai-news-founders-can-use-today-march-13-2026","AI news founders can use: March 13, 2026","AI news founders can use: March 13, 2026 | Prism","AI news founders can use: March 13, 2026. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/ai-news-founders-can-use-today-march-13-2026","AI News Founders Can Use Today","noindex","utility_noindex","","","yes"
"/blog/ai-news-founders-can-use-today-march-14-2026","AI news founders can use: March 14, 2026","AI news founders can use: March 14, 2026 | Prism","AI news founders can use: March 14, 2026. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/ai-news-founders-can-use-today-march-14-2026","AI News Founders Can Use Today: March 14, 2026","noindex","utility_noindex","","","yes"
"/blog/ai-news-founders-can-use-today-march-15-2026","AI news founders can use: March 15, 2026","AI news founders can use: March 15, 2026 | Prism","AI news founders can use: March 15, 2026. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/ai-news-founders-can-use-today-march-15-2026","AI News Founders Can Use Today: March 15, 2026","noindex","utility_noindex","","","yes"
"/blog/ai-rip-eyes-out-dental-software","AI is about to upend dental software","AI is about to upend dental software | Prism","AI is about to upend dental software. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/ai-rip-eyes-out-dental-software","AI Is About to Rip the Eyes Out of Dental Software And That's Great News for Dentists","index","indexable","","","yes"
"/blog/ai-search-for-dental-practice","AI search for dental practices","AI search for dental practices | Prism","AI search for dental practices. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/ai-search-for-dental-practice","ai search for dental practice: how to show up in ai overviews + assistants","index","indexable","","","yes"
"/blog/breaking-free-education-psyop","Breaking free from the education psyop","Breaking free from the education psyop | Prism","The education system isn't broken, it's working as designed.","https://www.design-prism.com/blog/breaking-free-education-psyop","breaking free from the education psyop: why the system wants you small","noindex","utility_noindex","","","yes"
"/blog/build-ecommerce-store-20-minutes-ai","Build an e-commerce store in 20 minutes with AI","Build an e-commerce store in 20 minutes | Prism","Build an e-commerce store in 20 minutes. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/build-ecommerce-store-20-minutes-ai","how to build a complete e-commerce store in 20 minutes with ai","noindex","utility_noindex","","","yes"
"/blog/built-animated-game-with-ai","I built an animated game with AI","I built an animated game with AI | Prism","I built an animated game with AI. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/built-animated-game-with-ai","i built a fully animated game with an ai in minutes-here's what i learned","noindex","utility_noindex","","","yes"
"/blog/business-visibility-chatgpt","Rank higher in AI search: live test","Rank higher in AI search: live test | Prism","A live test of how Prism ranks across ChatGPT, Gemini, Grok, and Perplexity.","https://www.design-prism.com/blog/business-visibility-chatgpt","how to rank higher in ai search: a live experiment","index","indexable","","","yes"
"/blog/chatgpt-agent-growing-small-businesses","ChatGPT agent for small businesses","ChatGPT agent for small businesses | Prism","ChatGPT agent for small businesses. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/chatgpt-agent-growing-small-businesses","chatgpt agent for growing small businesses: a practical lever for brick-and-mortar and startups","noindex","utility_noindex","","","yes"
"/blog/claude-code-to-figma-why-this-changes-how-we-build","Claude Code to Figma workflow","Claude Code to Figma workflow | Prism","Claude Code to Figma workflow. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/claude-code-to-figma-why-this-changes-how-we-build","Claude Code to Figma: Why This Changes How We Build","index","indexable","","","yes"
"/blog/claude-opus-4-8-what-it-means-for-small-business-owners","Claude Opus 4.8 for small business owners","Claude Opus 4.8 for small business | Prism","Anthropic shipped Claude Opus 4.8.","https://www.design-prism.com/blog/claude-opus-4-8-what-it-means-for-small-business-owners","Claude Opus 4.8 in the Real World: What It Means for Small Business Owners","index","indexable","","","yes"
"/blog/content-is-a-power-law-game-now","Content is a power law game now","Content is a power law game now | Prism","Modern content rewards relevant outliers.","https://www.design-prism.com/blog/content-is-a-power-law-game-now","Content Is a Power Law Game Now","index","indexable","","","yes"
"/blog/content-that-converts-give-away-secrets-sell-implementation","Content that converts: sell the implementation","Content that converts: sell | Prism","Your unique taste, one acute pain, and free secrets lead to paid implementation.","https://www.design-prism.com/blog/content-that-converts-give-away-secrets-sell-implementation","content that converts: give away the secrets, sell the implementation","index","indexable","","","yes"
"/blog/create-website-more-business-replit","Build a website that wins business with Replit","Build a website that wins business | Prism","Build a website that wins business. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/create-website-more-business-replit","create a website that gets you more business: a simple guide using replit","noindex","utility_noindex","","","yes"
"/blog/dental-practice-1-3m-swamp","The $1-3M swamp for dental practices","The $1-3M swamp for dental practices | Prism","The $1-3M swamp for dental practices. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/dental-practice-1-3m-swamp","the 1–3m swamp for dental practices","index","indexable","","","yes"
"/blog/dental-practice-rank-higher-google-search","Rank your dental practice higher on Google","Rank your dental practice higher | Prism","Rank your dental practice higher. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/dental-practice-rank-higher-google-search","dental practice rank higher in google search: a dentist checklist","index","indexable","","","yes"
"/blog/dental-seo-guide","Dental SEO guide: maps + organic","Dental SEO guide: maps + organic | Prism","Dental SEO guide: maps + organic. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/dental-seo-guide","dental seo: the practical guide for dentists (maps + organic)","index","indexable","","","yes"
"/blog/dental-website-cost-guide-2026","How much does a dental website cost in 2026? (real ranges)","How much does a dental website cost | Prism","How much does a dental website cost. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/dental-website-cost-guide-2026","how much does a dental website cost in 2026?","index","indexable","","","yes"
"/blog/dentist-website-design-checklist","Dentist website design checklist for 2026","Dentist website design checklist | Prism","Dentist website design checklist. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/dentist-website-design-checklist","dentist website design checklist for higher conversions in 2026","index","indexable","","","yes"
"/blog/design-is-the-moat-in-the-ai-era-5-lessons-from-figma-revenue-2025","Design is the moat in the AI era","Design is the moat in the AI era | Prism","AI made building easy, so design is now the moat.","https://www.design-prism.com/blog/design-is-the-moat-in-the-ai-era-5-lessons-from-figma-revenue-2025","design is the moat in the ai era | 5 revenue lessons","noindex","utility_noindex","","","yes"
"/blog/differentiation-is-survival","Differentiation is survival","Differentiation is survival | Prism","Differentiation is survival. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/differentiation-is-survival","differentiation is survival and the universe wants you to be typical","noindex","utility_noindex","","","yes"
"/blog/download-website-images-httrack","Download all images from any site with HTTrack","Download all images from any site | Prism","Download all images from any site. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/download-website-images-httrack","how to download all the images from any website using httrack","noindex","utility_noindex","","","yes"
"/blog/embracing-underdog-advantage-ai-growth-2025","The underdog advantage: AI-powered growth","The underdog advantage: AI-powered | Prism","The underdog advantage: AI-powered. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/embracing-underdog-advantage-ai-growth-2025","embracing the underdog advantage: how ai can supercharge growth for startups, healthcare practices, and brands in 2025","noindex","utility_noindex","","","yes"
"/blog/facebook-ads-for-dentists-playbook","Facebook ads for dentists: 30-day playbook","Facebook ads for dentists: 30-day | Prism","Facebook ads for dentists: 30-day. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/facebook-ads-for-dentists-playbook","facebook ads for dentists: the 30-day playbook","index","indexable","","","yes"
"/blog/founders-playbook-ai-era","The founder's playbook for the AI era","The founder's playbook for the AI era | Prism","The founder's playbook for the AI era. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/founders-playbook-ai-era","the founder's playbook for the ai era: timeless wisdom from 27 entrepreneurs","index","indexable","","","yes"
"/blog/from-6-impressions-to-hundreds-seo-journey","From 6 impressions to hundreds","From 6 impressions to hundreds | Prism","From 6 impressions to hundreds. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/from-6-impressions-to-hundreds-seo-journey","from 6 impressions a day to hundreds: what it really takes to win with seo","index","indexable","","","yes"
"/blog/from-broken-to-beautiful-dental-website-transformation","A broken dental website, rebuilt","A broken dental website, rebuilt | Prism","A broken dental website, rebuilt. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/from-broken-to-beautiful-dental-website-transformation","from broken to beautiful: the complete website transformation of a dental practice","index","indexable","","","yes"
"/blog/from-one-video-to-seo-flywheel","From one video to a full SEO flywheel","From one video to a full SEO flywheel | Prism","From one video to a full SEO flywheel. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/from-one-video-to-seo-flywheel","from one video to a full seo flywheel","index","indexable","","","yes"
"/blog/future-of-seo-ai-search","The future of SEO: an AI search checklist","The future of SEO: an AI search | Prism","The future of SEO: an AI search. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/future-of-seo-ai-search","the future of seo is here: an actionable checklist for ai search","index","indexable","","","yes"
"/blog/generate-thousands-leads-without-more-ads","Generate thousands of leads without more ads","Generate thousands of leads without | Prism","Generate thousands of leads without. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/generate-thousands-leads-without-more-ads","how to generate thousands of leads without spending more on ads","index","indexable","","","yes"
"/blog/google-ads-ai-smb-acquisition-playbook","Google Ads + AI: an SMB acquisition playbook","Google Ads + AI: an SMB acquisition | Prism","Launch a lean, testable paid engine in days, not months, and let AI do the heavy lifting.","https://www.design-prism.com/blog/google-ads-ai-smb-acquisition-playbook","google ads + ai: a simple, profitable acquisition playbook for smbs","index","indexable","","","yes"
"/blog/google-ads-destination-not-working","Fix the Google Ads 'destination not working' error","Fix the Google Ads 'destination not | Prism","Ads paused with a 'destination not working' policy?","https://www.design-prism.com/blog/google-ads-destination-not-working","fix the google ads destination not working error in minutes","index","indexable","","","yes"
"/blog/google-ads-health-personalized-warning","Google Ads health advertising warning, fixed","Google Ads health advertising warning | Prism","Seeing 'eligible (limited)' with a health in personalized advertising notice?","https://www.design-prism.com/blog/google-ads-health-personalized-warning","google ads “health in personalized advertising” warning: what it means and how to fix it","index","indexable","","","yes"
"/blog/google-ai-search-revolution-small-business","Google AI search is boosting local leads","Google AI search is boosting local leads | Prism","Google AI search is boosting local leads. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/google-ai-search-revolution-small-business","how google's ai-powered search revolution is boosting leads for small brick-and-mortar businesses","index","indexable","","","yes"
"/blog/google-io-2026-ai-search-small-business-playbook","Small business SEO in the AI search era","Small business SEO in the AI search era | Prism","Small business SEO in the AI search era. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/google-io-2026-ai-search-small-business-playbook","Small Business SEO in the AI Search Era","index","indexable","","","yes"
"/blog/google-maps-visibility-playbook-2025","Google Maps visibility checklist for 2025","Google Maps visibility checklist | Prism","Google Maps visibility checklist. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/google-maps-visibility-playbook-2025","get your business visible on google maps: the complete 2025 checklist","index","indexable","","","yes"
"/blog/google-stitch-for-smb-founders","Google Stitch for SMB founders","Google Stitch for SMB founders | Prism","Google Stitch for SMB founders. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/google-stitch-for-smb-founders","Google Stitch for Founders: How Small and Mid-Sized Businesses Can Move Faster","noindex","utility_noindex","","","yes"
"/blog/google-workspace-cli-for-founders","Google Workspace CLI for founders","Google Workspace CLI for founders | Prism","Google Workspace CLI for founders. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/google-workspace-cli-for-founders","The Operating System Inside Google Workspace Just Became Programmable","noindex","utility_noindex","","","yes"
"/blog/gpt-5-1-codex-test-dentist-website","GPT-5.1 Codex builds a dentist website","GPT-5.1 Codex builds a dentist website | Prism","GPT-5.1 Codex builds a dentist website. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/gpt-5-1-codex-test-dentist-website","gpt-5.1 codex test: can an ai model build a dentist website in one shot?","index","indexable","","","yes"
"/blog/gpt-5-2-vs-gpt-5-1-codex-max-dentist-website","GPT-5.2 vs GPT-5.1: dental sites","GPT-5.2 vs GPT-5.1: dental sites | Prism","A real dentist-site build comparing GPT-5.2 with GPT-5.1 Codex Max.","https://www.design-prism.com/blog/gpt-5-2-vs-gpt-5-1-codex-max-dentist-website","gpt‑5.2 vs gpt‑5.1 codex max: i one‑shotted a full dentist website from an empty repo","index","indexable","","","yes"
"/blog/gpt-5-4-new-reality-of-ai-founders-should-do-now","GPT-5.4 changed the founder playbook","GPT-5.4 changed the founder playbook | Prism","GPT-5.4 makes AI operational.","https://www.design-prism.com/blog/gpt-5-4-new-reality-of-ai-founders-should-do-now","GPT‑5.4, the New Reality of AI, and What Founders Should Do Now","noindex","utility_noindex","","","yes"
"/blog/gpt5-two-levers-growth","GPT-5 and the two levers of growth","GPT-5 and the two levers of growth | Prism","Most teams overcomplicate growth.","https://www.design-prism.com/blog/gpt5-two-levers-growth","gpt-5 and the two levers of growth: creativity on tap, execution at speed","noindex","utility_noindex","","","yes"
"/blog/great-content-collapse","The great content collapse","The great content collapse | Prism","AI answer boxes are siphoning search traffic.","https://www.design-prism.com/blog/great-content-collapse","the great content collapse-and why prism clients will come out ahead","index","indexable","","","yes"
"/blog/how-i-ranked-1-google-24-hours-claude-code","Ranked #1 on Google in 24 hours with AI","Ranked #1 on Google in 24 hours with AI | Prism","Ranked #1 on Google in 24 hours with AI. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/how-i-ranked-1-google-24-hours-claude-code","this guy ranked #1 on google in 24 hours using ai (here's what we can learn)","index","indexable","","","yes"
"/blog/how-to-choose-local-seo-agency","How to choose a local SEO agency","How to choose a local SEO agency | Prism","How to choose a local SEO agency. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/how-to-choose-local-seo-agency","how to choose a local seo agency: checklist + red flags","index","indexable","","","yes"
"/blog/how-to-choose-seo-consultant-for-dentists","How to choose an SEO consultant for dentists","How to choose an SEO consultant | Prism","How to choose an SEO consultant. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/how-to-choose-seo-consultant-for-dentists","how to choose an seo consultant for dentists","index","indexable","","","yes"
"/blog/how-to-connect-openai-codex-to-your-lovable-dev-website","Connect Lovable.dev to OpenAI Codex","Connect Lovable.dev to OpenAI Codex | Prism","Connect Lovable.dev to OpenAI Codex. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/how-to-connect-openai-codex-to-your-lovable-dev-website","how to connect loveable.dev to openai codex","noindex","utility_noindex","","","yes"
"/blog/how-to-grow-an-audience-in-2026","How to grow an audience in 2026","How to grow an audience in 2026 | Prism","How to grow an audience in 2026. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/how-to-grow-an-audience-in-2026","How to Grow an Audience in 2026: A Founder's Guide to Relevance, Trust, and Revenue","index","indexable","","","yes"
"/blog/how-to-rank-1-chatgpt","How to rank #1 in ChatGPT","How to rank #1 in ChatGPT | Prism","How to rank #1 in ChatGPT. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/how-to-rank-1-chatgpt","the smart way to rank #1 in chatgpt results","index","indexable","","","yes"
"/blog/how-we-supercharged-prisms-site-with-midjourney-video","Adding Midjourney video to our site","Adding Midjourney video to our site | Prism","Adding Midjourney video to our site. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/how-we-supercharged-prisms-site-with-midjourney-video","how we supercharged prism's site with midjourney video (and how you can, too)","noindex","utility_noindex","","","yes"
"/blog/impossible-seo-bug-claude-code","An 'impossible' SEO bug, fixed with Claude Code","An 'impossible' SEO bug, fixed | Prism","An 'impossible' SEO bug, fixed. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/impossible-seo-bug-claude-code","how an ""impossible"" seo bug turned into a 20-minute win with claude code","index","indexable","","","yes"
"/blog/inside-gpt5s-brain-system-prompt-secrets-first-movers","Inside GPT-5: system prompt secrets","Inside GPT-5: system prompt secrets | Prism","Stop chatting and start speccing.","https://www.design-prism.com/blog/inside-gpt5s-brain-system-prompt-secrets-first-movers","System Prompt Secrets That Unlock GPT-5's Full Potential","noindex","utility_noindex","","","yes"
"/blog/lovable-ai-review-business-owners","Lovable AI review for business owners","Lovable AI review for business owners | Prism","Lovable AI review for business owners. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/lovable-ai-review-business-owners","is lovable ai worth it? an honest review for business owners","index","indexable","","","yes"
"/blog/meet-gwen-prisms-ai-powered-growth-partner","Meet Gwen, Prism's AI growth partner","Meet Gwen, Prism's AI growth partner | Prism","Meet Gwen, Prism's AI growth partner. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/meet-gwen-prisms-ai-powered-growth-partner","Meet Gwen: Prism's AI Powered Growth Partner","noindex","utility_noindex","","","yes"
"/blog/modern-reviews-strategy-2025","Modern reviews strategy for 2025","Modern reviews strategy for 2025 | Prism","Modern reviews strategy for 2025. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/modern-reviews-strategy-2025","modern reviews strategy: where to focus in 2025","index","indexable","","","yes"
"/blog/nano-banana-2-google-ai-image-generation","Google's Nano Banana 2, explained","Google's Nano Banana 2, explained | Prism","Google's Nano Banana 2 is now the top-ranked AI image model.","https://www.design-prism.com/blog/nano-banana-2-google-ai-image-generation","Google's Nano Banana 2, explained.","noindex","utility_noindex","","","yes"
"/blog/new-rules-of-visibility-ai-seo","The new rules of visibility: AI is rewriting SEO","The new rules of visibility: AI is | Prism","The new rules of visibility: AI is. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/new-rules-of-visibility-ai-seo","the new rules of visibility: how ai is rewriting seo (and what it means for your business)","index","indexable","","","yes"
"/blog/openai-openclaw-shift-from-intelligence-to-agency","OpenAI, OpenClaw, and the shift to agency","OpenAI, OpenClaw, and the shift | Prism","The AI race is no longer about who has the smartest model.","https://www.design-prism.com/blog/openai-openclaw-shift-from-intelligence-to-agency","OpenAI, OpenClaw, and the Shift From Intelligence to Agency","noindex","utility_noindex","","","yes"
"/blog/openclaw-manus-codex-scaling-business","How OpenClaw, Manus & Codex scale my business","How OpenClaw, Manus & Codex scale my | Prism","How OpenClaw, Manus & Codex scale my. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/openclaw-manus-codex-scaling-business","openclaw, manus, and codex are scaling my business","noindex","utility_noindex","","","yes"
"/blog/perplexity-computer-why-founders-should-pay-attention","Perplexity Computer: a founder's breakdown","Perplexity Computer: a founder's | Prism","What Perplexity Computer is, how it works, and why founders should pay attention to it in 2026.","https://www.design-prism.com/blog/perplexity-computer-why-founders-should-pay-attention","Perplexity Computer: a founder's breakdown.","noindex","utility_noindex","","","yes"
"/blog/prism-approach-small-business-growth","The Prism approach to small business growth","The Prism approach to small business | Prism","The Prism approach to small business. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/prism-approach-small-business-growth","the prism approach to small business growth","index","indexable","","","yes"
"/blog/prism-flywheel-skyrocket-brick-and-mortar-growth","The Prism flywheel for local growth","The Prism flywheel for local growth | Prism","The Prism flywheel for local growth. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/prism-flywheel-skyrocket-brick-and-mortar-growth","how the prism flywheel can skyrocket your brick-and-mortar business growth","index","indexable","","","yes"
"/blog/reusable-shadcn-codex-template","A reusable shadcn + Codex design system","A reusable shadcn + Codex design system | Prism","A reusable shadcn + Codex design system. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/reusable-shadcn-codex-template","build a reusable shadcn + codex design system for every future project","noindex","utility_noindex","","","yes"
"/blog/revolutionize-small-business-ai-extract-old-website-content-grok-4","Extract old website content with Grok 4","Extract old website content with Grok 4 | Prism","Extract old website content with Grok 4. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/revolutionize-small-business-ai-extract-old-website-content-grok-4","revolutionize your small business with ai: extract old website content in minutes using grok 4","noindex","utility_noindex","","","yes"
"/blog/riding-the-ai-wave","Riding the AI wave in dental marketing","Riding the AI wave in dental marketing | Prism","Riding the AI wave in dental marketing. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/riding-the-ai-wave","riding the ai wave: how prism keeps your practice ahead of the curve","index","indexable","","","yes"
"/blog/seedance-2-0-just-dropped-competitors-will-use-it-before-you-do","Seedance 2.0 just dropped: what it means","Seedance 2.0 just dropped: what it means | Prism","Seedance 2.0 reset the economics of video for small businesses.","https://www.design-prism.com/blog/seedance-2-0-just-dropped-competitors-will-use-it-before-you-do","Seedance 2.0 Just Dropped. Here's Why Your Competitors Will Use It Before You Do.","noindex","utility_noindex","","","yes"
"/blog/seo-mystery-beverly-hills-dentist-traffic-from-china","The SEO mystery: a dentist's traffic from China","The SEO mystery: a dentist's traffic | Prism","A real SEO detective case: a Beverly Hills dentist's traffic came mostly from China.","https://www.design-prism.com/blog/seo-mystery-beverly-hills-dentist-traffic-from-china","the seo mystery: why a beverly hills dentist was getting traffic from china (and what we did about it)","index","indexable","","","yes"
"/blog/the-ai-shift-already-happened-what-it-means-for-your-business","The AI shift already happened","The AI shift already happened | Prism","The AI shift already happened. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/the-ai-shift-already-happened-what-it-means-for-your-business","The AI Shift Already Happened. Here's What It Means for Your Business","noindex","utility_noindex","","","yes"
"/blog/the-dark-factory-is-already-running-and-it-is-about-to-move-out-of-the-building","The dark factory is already running","The dark factory is already running | Prism","Founders are already living with AI-built production software.","https://www.design-prism.com/blog/the-dark-factory-is-already-running-and-it-is-about-to-move-out-of-the-building","The Dark Factory Is Already Running And It Is About To Move Out Of The Building","noindex","utility_noindex","","","yes"
"/blog/the-founders-guide-to-shipping-apps-on-the-apple-app-store-in-2026","Ship apps on the Apple App Store in 2026","Ship apps on the Apple App Store in 2026 | Prism","Ship apps on the Apple App Store in 2026. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/the-founders-guide-to-shipping-apps-on-the-apple-app-store-in-2026","The Founder's Guide to Shipping Apps on the Apple App Store in 2026","noindex","utility_noindex","","","yes"
"/blog/the-grind-that-builds-empires","The grind that builds empires","The grind that builds empires | Prism","The grind that builds empires. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/the-grind-that-builds-empires","the grind that builds empires: why your solitary sweat separates legends from the pack","noindex","utility_noindex","","","yes"
"/blog/turning-your-website-into-an-ai-powered-seo-flywheel","Turn your website into an SEO flywheel","Turn your website into an SEO flywheel | Prism","Turn your website into an SEO flywheel. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/turning-your-website-into-an-ai-powered-seo-flywheel","turning your website into an ai-powered seo flywheel","index","indexable","","","yes"
